Strain,Rec,date,transfer,plateID,wellID,wellCol,wellRow,Treatment,Replicate,Environment,OD,Treatment_f
AB3,com+,290720,T01,RIF AB3 SHIFT 2,B3,3,B,RIF,6,X,1.004,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,B4,4,B,RIF,6,R,0.983,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,B5,5,B,RIF,6,R,1.004,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,B6,6,B,RIF,6,R,0.98,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,C1,1,C,RIF,7,X,1.055,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,C2,2,C,RIF,7,X,1.065,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,C3,3,C,RIF,7,X,1.06,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,C4,4,C,RIF,7,R,0.991,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,C5,5,C,RIF,7,R,0.982,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,C6,6,C,RIF,7,R,0.978,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,D1,1,D,RIF,8,X,1.149,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,D2,2,D,RIF,8,X,1.134,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,D3,3,D,RIF,8,X,1.129,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,D4,4,D,RIF,8,R,0.981,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,D5,5,D,RIF,8,R,0.968,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,D6,6,D,RIF,8,R,0.945,RIF only
AB3,com+,290720,T01,MIX AB3 SHIFT 2,A1,1,A,MIX,5,X,0.927,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,A2,2,A,MIX,5,X,0.979,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,A3,3,A,MIX,5,X,0.839,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,A4,4,A,MIX,5,S,0.815,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,A5,5,A,MIX,5,R,0.831,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,A6,6,A,MIX,5,B,0.071,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,B1,1,B,MIX,6,X,0.907,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,B2,2,B,MIX,6,X,0.879,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,B3,3,B,MIX,6,X,0.828,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,B4,4,B,MIX,6,S,0.834,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,B5,5,B,MIX,6,R,0.833,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,B6,6,B,MIX,6,B,0.068,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,C1,1,C,MIX,7,X,0.918,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,C2,2,C,MIX,7,X,0.919,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,C3,3,C,MIX,7,X,0.87,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,C4,4,C,MIX,7,S,0.866,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,C5,5,C,MIX,7,R,0.866,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,C6,6,C,MIX,7,B,0.069,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,D1,1,D,MIX,8,X,1.153,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,D2,2,D,MIX,8,X,1.03,Mixed
